SKU$ean$Nombre$description$marca$precio$precio_unidad
78345$7800145001299$Carne molida vacuno Fundo Río Alegre tártaro 3% grasa 250 g$Carne molida vacuno Fundo Río Alegre tártaro 3% grasa 250 g$Fundo Rio Alegre$2799$"$11.196 x Kg"
9976$7809611714602$Chuletitas para freir Super Cerdo bandeja 600 g$Chuletitas para freir Super Cerdo, bandeja 600 g$Super Cerdo$3799$"$6.332 x Kg"
1512$2594445000001$Filete vacuno Argentina al vacío 2.6 Kg$Filete vacuno Argentina al vacío 2.6 Kg$ARGENTINA$43676.984000000004$"$16.799 x Kg"
78595$99176$Entraña vacuno angus Friboi Black al vacío 0.9 Kg$Entraña vacuno angus Friboi Black al vacío 0.9 Kg$FRIBOI BLACK$14391$"$15.990 x Kg"
77970$7800145001282$Carne molida especial Fundo Rio Alegre 7% grasa 250 g$Carne molida especial Fundo Rio Alegre 7% grasa 250 g$Fundo Rio Alegre$2599$"$10.396 x Kg"
9973$7809611714718$Pechuga de pollo deshuesada Super Pollo 850 g$Pechuga de pollo deshuesada Super Pollo, 850 g$Super Pollo$5690$"$6.694 x Kg"
1608$7809611715012$Filetitos de pollo Super Pollo bandeja 530 g$Filetitos de pollo Super Pollo, bandeja 530 g$Super Pollo$3299$"$6.225 x Kg"
1518$93608$Lomo vetado vacuno Argentino al vacío 1.7 Kg$Lomo vetado vacuno Argentino al vacío 1.7 Kg$ARGENTINA$17981.987999999998$"$10.578 x Kg"
1516$2594454000009$Lomo liso vacuno Argentino al vacío 2.0 Kg$Lomo liso vacuno Argentino al vacío 2.0 Kg$ARGENTINA$28398$"$14.199 x Kg"
695$7809611700766$Malaya de cerdo Super Cerdo 900 g$Malaya De Cerdo, Recomendada Para La Parrilla.$Super Cerdo$12199$"$13.554 x Kg"
79705$99736$Asiento bombom vacuno Friboi Black al vacío 1.3 Kg$Asiento bombom vacuno Friboi Black al vacío 1.3 Kg$FRIBOI BLACK$11687$"$8.990 x Kg"
79704$99729$Punta picana vacuno Friboi Black al vacío 1.3 Kg$Punta picana vacuno Friboi Black al vacío 1.3 Kg$FRIBOI BLACK$16887$"$12.990 x Kg"
78586$99167$Choclillo vacuno Friboi Black al vacío 1.5 Kg$Choclillo vacuno Friboi Black al vacío 1.5 Kg$FRIBOI BLACK$11985$"$7.990 x Kg"
78583$99164$Palanca vacuno Friboi Black al vacío 0.6 Kg$Palanca vacuno Friboi Black al vacío 0.6 Kg$FRIBOI BLACK$6594$"$10.990 x Kg"
78582$99163$Pollo ganso vacuno Friboi Black al vacío 1.3 Kg$Pollo ganso vacuno Friboi Black al vacío 1.3 Kg$FRIBOI BLACK$11037$"$8.490 x Kg"
78344$7800145001275$Carne molida vacuno Fundo Río Alegre corriente 10% grasa 250 g$Carne molida vacuno Fundo Río Alegre corriente 10% grasa 250 g$Fundo Rio Alegre$2299$"$9.196 x Kg"
4260$7809611713346$Lomo de Cerdo centro Super Cerdo 800 g$$Super Cerdo$8899$"$11.124 x Kg"
1499$7809611709783$Trutro Pollo Corto Iqf Super Pollo3-4 U. 800 G$Trutro corto de pollo con piel marinado individualmente congelado, bolsa 3 a 4 un. Producto sin gluten certificado por fundación convivir.$Super Pollo$3690$"$4.613 x Kg"
1440$7809611715029$Bistec de pechuga de pollo Super Pollo 530 g$Bistec de pechuga de pollo Super Pollo, 530 g$Super Pollo$3490$"$6.585 x Kg"
360$2586016000008$Pechuga de pollo entera Super Pollo 0.950 Kg$Pechuga de pollo entera Super Pollo 0.950 Kg$Super Pollo$4748.9929999999995$"$4.999 x Kg"
79696$99735$Asiento baby beef vacuno Friboi Black al vacío 1.8 Kg$Asiento baby beef vacuno Friboi Black al vacío 1.8 Kg$FRIBOI BLACK$16182$"$8.990 x Kg"
78589$99170$Lomo liso vacuno Friboi Black al vacío 1.9 Kg$Lomo liso vacuno Friboi Black al vacío 1.9 Kg$FRIBOI BLACK$22781$"$11.990 x Kg"
78588$99169$Lomo vetado vacuno Friboi Black al vacío 1.8 Kg$Lomo vetado vacuno Friboi Black al vacío 1.8 Kg$FRIBOI BLACK$25182$"$13.990 x Kg"
78547$2599372000001$Trutro entero Super Pollo bandeja 850 g$Trutro entero Super Pollo bandeja 850 g$Super Pollo$2803.997$"$3.299 x Kg"
76906$7800145001237$Albóndigas vacuno Fundo Rio Alegre 360 g$Albóndigas vacuno Fundo Rio Alegre 360 g$Fundo Rio Alegre$2699$"$7.497 x Kg"
75024$7809611718709$Pulpa Super Cerdo tiritas 500 g$Pulpa Super Cerdo tiritas, 500 g$Super Cerdo$2990$"$5.980 x Kg"
75023$7809611718655$Pulpa Super Cerdo cubitos 500 g$Pulpa Super Cerdo cubitos, 500 g$Super Cerdo$2990$"$5.980 x Kg"
69924$7894904079766$Pechuga de pollo Fundo Río Alegre congelada bolsa 2 Kg$Pechuga de pollo Fundo Río Alegre congelada, bolsa 2 Kg$Fundo Rio Alegre$4999$"$2.500 x Kg"
64243$7899567257421$Carne molida vacuno corriente Fundo Río Alegre congelado 10% grasa 500 g$Carne molida vacuno corriente Fundo Río Alegre congelado 10% grasa, 500 g$Fundo Rio Alegre$4599$"$9.198 x Kg"
62106$2594323000000$Costillitas baby back ribs Super Cerdo al vacío (500 a 600 g)$Costillitas baby back ribs Super Cerdo, al vacío (500 a 600 g)$Super Cerdo$8638.998$"$14.398 x Kg"
39690$2050000528965$Panitas Super Pollo bandeja 600 g$Panitas Super Pollo, bandeja 600 g. Producto sin gluten certificado por fundación convivir.$Super Pollo$990$"$1.650 x Kg"
33445$28614$Sobrecostilla vacuno nacional al vacío 2.1 Kg$Sobrecostilla vacuno nacional al vacío 2.1 Kg$Nacional$26037.984000000004$"$12.399 x Kg"
9977$7809611714619$Chuleta de cerdo centro Super Cerdo bandeja 550 g$Chuleta de cerdo centro Super Cerdo, bandeja 550 g$Super Cerdo$4799$"$8.725 x Kg"
1651$7809611710994$Tiritas de pechuga de pollo Super Pollo congelado 700 g$Tiritas de pechuga de pollo sin piel deshuesada marinada. Bajo aporte en sodio. Usa solo lo que necesitas, no desperdicias nada. No es necesario descongelar para cocinar. Producto congelado. Producto sin gluten certificado por fundación convivir.$Super Pollo$5399$"$7.713 x Kg"
1514$2594451000002$Huachalomo vacuno Argentina al vacío 1.7 Kg$Huachalomo vacuno Argentina al vacío 1.7 Kg$ARGENTINA$16147.993999999999$"$9.499 x Kg"
1508$2050001132796$Asiento vacuno Argentina al vacío 1.8 Kg$Asiento vacuno Argentina al vacío 1.8 Kg$ARGENTINA$17817.984$"$9.899 x Kg"
1507$2594422000000$Abastero vacuno Argentina al vacío 2.0 Kg$Abastero vacuno Argentina al vacío 2.0 Kg$ARGENTINA$19998$"$9.999 x Kg"
1505$2050001133212$Punta picana vacuno Argentina al vacío 1.4 Kg$Punta picana vacuno Argentina al vacío 1.4 Kg$ARGENTINA$13858.992$"$9.899 x Kg"
1504$2594524000007$Punta paleta vacuno Argentina al vacío 3.2 Kg$Punta paleta vacuno Argentina al vacío 3.2 Kg$ARGENTINA$30716.992$"$9.599 x Kg"
1197$7809611707468$Filetitos de pechuga de pollo Super Pollo congelado 700 g$Filetitos de pechuga de pollo, sistema IQF congelados individualmente,700 g. Producto sin gluten certificado por fundación convivir.$Super Pollo$5999$"$8.570 x Kg"
1196$7809611707444$Pechuga deshuesada de pollo Super Pollo congelado 700 g$Pechuga deshuesada de pollo Super Pollo congelado, 700 g. Producto sin gluten certificado por fundación convivir.$Super Pollo$6199$"$8.856 x Kg"
1142$7809611706584$Costillitas Super Cerdo baby back ribs 1 Kg$Prueba todo el sabor con estas deliciosas costillitas ribs barbecue. Lo mejor para disfrutar ahora a la parrilla. Puedes acompañar con papas cocidas, puré, arroz, ensaladas o lo que se te ocurra. Producto congelado.$Super Cerdo$13499$"$13.499 x Kg"
78592$99173$Chuck short ribs vacuno angus Friboi Black al vacío 2.6 Kg$Chuck short ribs vacuno angus Friboi Black al vacío 2.6 Kg$FRIBOI BLACK$31174$"$11.990 x Kg"
78590$99171$Filete vacuno Friboi Black al vacío 2.6 Kg$Filete vacuno Friboi Black al vacío 2.6 Kg$FRIBOI BLACK$41574$"$15.990 x Kg"
78585$99166$Ganso vacuno Friboi Black al vacío 1.8 Kg$Ganso vacuno Friboi Black al vacío 1.8 Kg$FRIBOI BLACK$11502$"$6.390 x Kg"
78222$7809611718990$Tiritas de pollo Super Pollo 350 g$Tiritas de pollo Super Pollo 350 g$Super Pollo$2199$"$6.283 x Kg"
73203$7809611718488$Pechuga de pollo Super Pollo IQF deshuesada al natural 700 g$Pechuga de pollo deshuesada sin piel, sin marinar congelada Super Pollo al natural, 700 g$Super Pollo$5999$"$8.570 x Kg"
69923$7894904079599$Trutro entero de pollo Fundo Río Alegre congelado bolsa 2 Kg$Trutro entero de pollo Fundo Río Alegre congelado, bolsa 2 Kg$Fundo Rio Alegre$5490$"$2.745 x Kg"
69921$7894904079377$Trutro corto de pollo Fundo Río Alegre congelado bolsa 800 g$Trutro corto de pollo Fundo Río Alegre congelado, bolsa 800 g$Fundo Rio Alegre$2890$"$3.613 x Kg"
64242$7899567257414$Carne molida vacuno tártaro Fundo Río Alegre congelado 4% grasa 500 g$Carne molida vacuno tártaro Fundo Río Alegre congelado 4% grasa, 500 g$Fundo Rio Alegre$6099$"$12.198 x Kg"
56823$2590146000005$Lomo vetado vacuno Azul Natural Beef premium al vacío 2.4 Kg$Lomo vetado vacuno Azul Natural Beef premium al vacío 2.4 Kg$AZUL NATURAL BEEF$34296$"$14.290 x Kg"
37922$7809611714596$Chuleta de centro congelado Super Cerdo 750 g$$Super Cerdo$6999$"$9.332 x Kg"
