SKU;Nombre;EAN;Precio por unidad;Precio internet;Marca
726877;Lechuga Roble Verde  150 g;7804636170273;Precio x Kg : $13 666;2050;Lechuga
835091;Kale Bolsa  300 g;3464483630005;Precio x Kg : $4 833;1450;Kale
323490;Achicoria  1 Un;3400377470005;Precio x Un : $750;750;Achicoria
726887;Kale Baby  150 g;7804636170488;Precio x Kg : $13 666;2050;Ensalada
323382;Hojas Espinaca Bolsa  500 gr;7804676940324;Precio x Kg : $2 500;1250;Espinaca
326172;Acelga  1 Un;3408358930005;Precio x Un : $1 050;1050;Acelga
1203623;Espinaca  500 gr;7803946001291;Precio x Kg : $3 380;1690;Agrosano
476185;Espinaca Baby Pote  60 gr;7803946000935;Precio x Kg : $16 500;1390;Espinaca
1187216;Acelga  500 g;7803946001376;Precio x Kg : $1 980;990;Acelga
329328;Zanahoria Baby  454 gr;71430000250;Precio x Kg : $10 770;4890;Zanahoria
329522;Ensalada Toscana  300 gr;7804097011016;Precio x Kg : $5 966;1790;Ensalada
957925;Ensalada Toscana  300 g;7804640800555;Precio x Kg : $4 966;1490;Your Fresh Market
329628;Ensalada Toscana  600 gr;7809530600635;Precio x Kg : $4 583;2750;Ensalada
328334;Salad Mix  150 gr;7804636170105;Precio x Kg : $12 333;1850;Ensalada
325808;Ensalada Repollo Blanco  300 gr;7809530600055;Precio x Kg : $5 966;1790;Repollo
957919;Ensalada Apio Media Luna  420 g;7804640800548;Precio x Kg : $5 690;2390;Lider
957961;Ensalada Siciliana  300 g;7804640800616;Precio x Kg : $4 633;1390;Lider
957931;Ensalada De Zanahoria Juliana  300 g;7804640800562;Precio x Kg : $4 966;1490;Your Fresh Market
957955;Ensalada Repollo Blanco  300 g;7804640800609;Precio x Kg : $5 300;1590;Lider
328038;Baby Leaf Pote  150 gr;7804636170099;Precio x Kg : $13 933;2090;Ensalada
328402;Espinaca Baby Pote  150 gr;7804636170150;Precio x Kg : $19 933;2990;Espinaca
957943;Ensalada De Espinaca  200 g;7804640800586;Precio x Kg : $9 250;1850;Your Fresh Market
331872;Albahaca Pote  150 gr;7804636170303;Precio x Kg : $21 666;3250;Albahaca
957949;Ensalada Repollo Morado  300 g;7804640800593;Precio x Kg : $4 833;1450;Lider
3779;Ensalada Lechuga Escarola  300 gr;7809530600048;Precio x Kg : $6 166;1850;Lechuga
957979;Apio Juliana  300 g;7804640800647;Precio x Kg : $7 833;2350;Your Fresh Market
323540;Ensalada Summer mix Caja  150 gr;7809530601090;Precio x Kg : $20 600;3090;Ensalada
957985;Ensalada Brócoli  300 g;7804640800654;Precio x Kg : $4 500;1350;Your Fresh Market
7539;Ensalada Apio Media Luna  420 gr;7809530601236;Precio x Kg : $6 547;2750;Apio
957937;Ensalada Napolitana  300 g;7804640800579;Precio x Kg : $4 833;1450;Your Fresh Market
1052763;Zanahoria Corte Noodle  250 g;7804640800838;Precio x Kg : $5 800;1450;Lider
325594;Apio Mini Varitas Bolsa  400 gr ;7809530601311;Precio x Kg : $9 125;3650;Apio
484803;Espinaca Baby Pote  140 g;7809530601991;Precio x Kg : $26 071;3650;Espinaca
957991;Salsa Verde Pote  200 g;7804640800661;Precio x Kg : $7 450;1490;Lider
1052765;Betarraga Corte Noodle  250 g;7804640800845;Precio x Kg : $5 160;1290;Lider
329300;Ensalada Cesar  300 gr;7809530600420;Precio x Kg : $10 500;3150;Ensalada
1145430;Ensalada Asiática  350 gr;7804676940140;Precio x Kg : $10 828;3790;Dole
422173;Salanova Hojas  150 gr;7804636170426;Precio x Kg : $15 266;2290;Ensalada
1145432;Ensalada Bacon And Bleu Con Kit Aderezo  350 gr;7804676940157;Precio x Kg : $10 828;3790;Dole
329374;Ensalada Italiana  400 gr;7809530600437;Precio x Kg : $7 875;3150;Ensalada
997577;Ensalada Espinaca Picada  350 gr;7809530603896;Precio x Kg : $2 857;1390;Ensalada
329382;Brócoli  1 Un;3408702690005;Precio x Un : $1 250;1250;Brócoli
6831;Coliflor  1 Un;3405287950005;Precio x Un : $1 290;1290;Coliflor
4559;Repollo Crespo  1 Un;3403458040005;Precio x Un : $1 390;1390;Repollo
330876;Repollo Morado  1 Un;3403454150005;Precio x Un : $1 450;1450;Repollo
1211075;Brocoli Florete 300 gr  300 gr;3474119170003;Precio x Kg : $3 500;1050;Brocoli
1145574;Coliflor Morado  1 Un;3473557560001;Precio x Un : $1 190;1190;Coliflor
1270965;Coliflor Verde  1 Un;3475334490006;Precio x Un : $1 350;1350;Coliflor
328716;Pepino Ensalada  1 Un;3400350640005;Precio x Un : $650;650;Pepino
326754;Pimiento Rojo  1 Un;3401576670005;Precio x Un : $1 590;1590;Pimiento
4553;Pimiento Verde  1 Un;3400342100005;Precio x Un : $950;950;Pimiento
326594;Pimiento Amarillo  1 Un;3400900010005;Precio x Un : $1 590;1590;Pimiento
326296;Ají Verde Granel  100 g;2009070000000;Precio x Kg : $3 490;449;Ají
328060;Pepino Alaska  1 Un;3407154780005;Precio x Un : $1 150;1150;Pepino
3747;Ají Verde Bandeja  125 g;3401990320005;Precio x Kg : $8 400;1050;Ají
383908;Ají Surtido Bandeja  200 g;3401080890005;Precio x Kg : $10 450;2090;Ají
327136;Ají Rocoto Pote  4 Un;3405256950005;Precio x Un : $623;2490;Ají
329476;Cebolla Morada Malla  1 Kg;3400729840005;Precio x Kg : $1 650;1650;Cebolla
3821;Papa Malla  2 Kg;3400733940005;Precio x Kg : $1 295;2590;Papas
323770;Papa Malla  5 Kg;3400734170005;Precio x Kg : $1 150;5750;Papas
328720;Cebolla Malla  1 Kg;3400728160005;Precio x Kg : $1 000;1250;Cebolla
275980;Papas Granel  500 g (5 a 6 un aprox);2000050000003;Precio x Kg : $1 350;675;Papas
323498;Papas  Soufflé Malla  2 Kg;3400733700005;Precio x Kg : $1 145;2290;Papas
323588;Cebolla Granel  500 g (1 a 3 un aprox);2000040000006;Precio x Kg : $1 150;575;Cebolla
327044;Cebolla  Tubular Malla  3 Un;3402394620005;Precio x Un : $417;1250;Cebolla
326940;Cebolla Pickera Malla  1 Kg;3402355180005;Precio x Kg : $1 350;1350;Cebolla
630639;Papa Baby Bolsa  1 Kg;7804647990051;Precio x Kg : $2 090;2090;Papas
1163814;Papa Mix Colores  650 gr;3473565730007;Precio x Kg : $2 138;1390;Papa
327806;Zanahoria Bolsa  1 Kg;3401180020005;Precio x Kg : $990;990;Zanahoria
323528;Zapallo Italiano Unidad  1 Un;3400130310005;Precio x Un : $690;690;Zapallo
326590;Zapallo Entero  1 Un;3401122220005;Precio x Un : $2 150;2150;Zapallo
3755;Zapallo Camote  1 Un;3400711780005;Precio x Un : $1 750;1750;Zapallo
7779;Zanahoria Jugo Bolsa  1 Kg;3408187350005;Precio x Kg : $950;950;Zanahoria
327046;Zapallo Picado  500 gr;7803946000089;Precio x Kg : $4 100;2050;Zapallo
329888;Zapallo Italiano Redondo Unidad  1 Un;7804628680391;Precio x Un : $720;720;Zapallo
1015317;Calabaza Halloween  1 un;3473079530001;Precio x Un : $4 990;4990;Calabaza
329572;Menta  1 Un;3403891500005;Precio x Un : $870;870;Hierbas
370150;Romero  1 Un;3404553670005;Precio x Un : $950;950;Romero
383884;Hierba Buena  1 Un;3400674470005;Precio x Un : $1 050;1050;Hierbas
15143;Laurel  1 Un;3400151430003;Precio x Un : $950;950;Hierbas
1031612;Merkén  75 g;0612520519858;Precio x Kg : $66 533;4990;Etnia
328984;Ajo Desgranado  150 g;3400960270005;Precio x Kg : $8 666;1300;Ajo
4545;Palta Hass Malla  700 g;3422914750005;Precio x Kg : $2 842;2690;Palta
3685;Limón Malla  1 kg;3400730420005;Precio x Kg : $1 000;1350;Limones
6743;Apio Mata  1 Un;3400723110005;Precio x Un : $1 000;1150;Apio
327664;Cebollín 3 Unidades  3 Un;7803946000515;Precio x Un : $297;890;Cebollín
331144;Alcachofa Argentina  1 Un;3404792570005;Precio x Un : $790;790;Alcachofa
323766;Cilantro Bolsa  120 g;3400672320005;Precio x Kg : $5 500;660;Cilantro
12260;Ajo Malla  3 Un;3408187730005;Precio x Un : $334;1190;Ajo
323388;Limón Sutil Malla  1 kg;3400730970005;Precio x Kg : $3 250;3250;Limones
325264;Apio Bastones Bolsa  500 g;7809530601502;Precio x Kg : $2 980;1990;Apio
476644;Limón Granel  500 g (3 a 5 un aprox);2021050000008;Precio x Kg : $1 790;895;Limones
331200;Cebollín 6 Unidades  6 Un;7803946000010;Precio x Un : $232;1390;Cebollín
330506;Berenjena Negra  1 Un;3403287600005;Precio x Un : $780;780;Berenjena
326952;Camote Granel  500 g (1 a 3 un aprox);2009710000001;Precio x Kg : $2 690;1345;Camotes
329554;Betarraga Tubular  5 Un;3403421860005;Precio x Un : $258;1290;Betarragas
327644;Rucula  200 g;7808744700346;Precio x Kg : $7 750;1550;Lider
325468;Ciboulette Bandeja  1 Un;7803946000331;Precio x Un : $650;650;Ciboulette
329238;Jengibre Pote  120 g;3403419810005;Precio x Kg : $11 250;1350;Jengibre
325276;Perejil Bolsa  120 g;3403357510005;Precio x Kg : $4 750;570;Perejil
326044;Apio Corazones Bolsa  1 Un;7809530600543;Precio x Un : $2 000;2990;Apio
328236;Diente De Dragón  250 gr;7803946000546;Precio x Kg : $4 000;1000;Diente de Dragón
328606;Berro  200 gr;3402529730005;Precio x Kg : $8 750;1750;.
6913;Choclo Dulce Bandeja  1 Un;3408787530005;Precio x Un : $3 350;3350;Choclo
476183;Rucula Baby  60 gr;7803946000928;Precio x Kg : $16 166;1350;Rúcula
329684;Palta Negra La Cruz Malla  1 kg;340263795000;Precio x Kg : $4 150;4150;Palta
370686;Diente De Dragón  1 Kg;7803946000959;Precio x Kg : $1 850;1850;Diente de Dragón
882738;Limón Gourmet Malla  500 g;7759143000042;Precio x Kg : $5 980;2990;Limones
326690;Puerro  1 Un;3404353070005;Precio x Un : $750;750;Puerro
476187;Cilantro Baby  60 gr;7803946000942;Precio x Kg : $22 500;1350;Cilantro
904095;Rabanitos Pote  350 gr;7804621060114;Precio x Kg : $3 571;1250;Rabanos
325948;Cochayuyo Bolsa  80 gr;3409268500005;Precio x Kg : $24 375;1950;Cochayuyo
330192;Mote Trigo Cocido  500 gr;3407774690005;Precio x Kg : $3 180;1590;Mote Trigo
329808;Rábano Blanco  1 Un;3407544220005;Precio x Un : $680;680;Rabanos
328208;Chapsui Especial  1 Un;7804033000302;Precio x Un : $2 190;2190;Chapsui
331878;Rúcula Hojas  150 gr;7804636170129;Precio x Kg : $13 933;2090;Rúcula
329376;Cochayuyo Malla  1 Un;3403268890005;Precio x Un : $2 650;2650;Cochayuyo
9057;Alcachofa Francesa  1 Un;3400711230005;Precio x Un : $790;790;Alcachofa
815093;Cúrcuma Pote  100 g;3464467340005;Precio x Kg : $10 000;1950;Cúrcuma
331400;Chap Sui  1 Un;7803946000805;Precio x Un : $2 290;2290;Chapsui
323492;Chalotas Malla  250 g;3400988540005;Precio x Kg : $8 000;2290;Chalotas
328114;Chapsui Wok Mongoliano  1 Un;3401657780005;Precio x Un : $1 790;1790;Chapsui
330730;Brotes De Alfalfa  150 gr;3404583680005;Precio x Kg : $5 133;770;Brotes
331392;Base Wok  1 Un;7803946000829;Precio x Un : $1 950;1950;Chapsui
328378;Chapsui Col  1 Un;7804033000326;Precio x Un : $1 850;1850;Chapsui
328620;Brotes De  Arveja  150 gr;3405583960005;Precio x Kg : $5 666;850;Brotes
327582;Brotes De  Soya  150 gr;3404395650005;Precio x Kg : $5 666;850;Brotes
815091;Ajo Negro  2 Un;3464467270005;Precio x Un : $2 095;4190;Ajo
1145428;Toscana Roble  200 gr;3473557520005;Precio x Kg : $9 950;1990;Genial
323314;Ciboulette Oriental  50 gr;7804033000067;Precio x Kg : $11 400;570;Mas Vida
324560;Hinojo  200 g;400442;Precio x Kg : $4 950;990;Hinojo
904665;Espárragos  300 g;3464772570005;Precio x Kg : $5 300;1590;Lider
328056;Almendras Naturales  300 g;7804515004996;Precio x Kg : $16 633;6050;Lider
901491;Almendra Laminada  140 g;7804515004965;Precio x Kg : $20 642;3090;Lider
901495;Almendras Saladas  300 g;7808743604751;Precio x Kg : $17 500;5590;Lider
1074791;Maní Japonés  250 g;7804515005870;Precio x Kg : $7 160;1790;Lider
327762;Maní Merkén  300 g;7804068001862;Precio x Kg : $7 366;2210;Lider
901499;Almendras Confitadas  300 g;7804515005023;Precio x Kg : $16 633;4990;Lider
901497;Almendras Confitadas Rojas  300 g;7804515005016;Precio x Kg : $16 633;4990;Lider
329070;Maní Salado  300 g;7804068001916;Precio x Kg : $6 366;1910;Lider
326984;Mati Tostado  300 g;7804515005061;Precio x Kg : $5 966;1790;Lider
330082;Mix Frutos Secos Natural  300 g;7804515005078;Precio x Kg : $9 600;2880;Lider
1074789;Mix de Frutos Secos Energía  300 g;7804515005863;Precio x Kg : $8 300;2690;Lider
949423;Mix Tricolor  300 g;7804515005351;Precio x Kg : $11 633;3490;Lider
330178;Mix Frutos Secos Salado  300 g;7804515005085;Precio x Kg : $10 333;3100;Lider
861573;Pack Colacion Frutos Secos  250 g;400006142221;Precio x Kg : $13 960;3490;Disney
945409;Pack Colación 5 Un  150 g;7808743605079;Precio x Kg : $15 000;2250;Lider
949427;Mix Ensalada Semillas De Maravilla  Nueces Y Cranberries  40 g;7804515005382;Precio x Kg : $14 750;590;Lider
949425;Mix Para Ensaladas  40 g;7804515005375;Precio x Kg : $14 750;590;Lider
853375;Mix Frutos Secos Saludable  100 g;7802821010663;Precio x Kg : $24.900;2490;Sofruco
853371;Mix Frutos Secos Energía  150 g;7802821010649;Precio x Kg : $16.600;2490;Sofruco
853373;Mix Frutos Secos Proteínas  150 g;7802821010656;Precio x Kg : $16.600;2490;Sofruco
853377;Mix Frutos Secos  100 g;7802821010670;Precio x Kg : $24.900;2490;Sofruco
949419;Semillas Chía  140 g;7804515005344;Precio x Kg : $7 142;1290;Lider
945413;Semilla Maravilla  130 g;7804068003347;Precio x Kg : $8.385;1090;Lider
329172;Amapola Semillas  140 g;7804068001510;Precio x Kg : $22 142;3100;Lider
949427;Mix Ensalada Semillas De Maravilla  Nueces Y Cranberries  40 g;7804515005382;Precio x Kg : $14 750;590;Lider
949425;Mix Para Ensaladas  40 g;7804515005375;Precio x Kg : $14 750;590;Lider
945403;Semilla de Quinoa  350 g;7808743605048;Precio x Kg : $5 114;1990;Lider
1074787;Sésamo Natural  140 g;7804515005856;Precio x Kg : $6 357;990;Lider
328566;Fruta Confitada  300 g;7804068001602;Precio x Kg : $7 500;2380;Lider
330274;Nueces Mariposa  200 g;7804515005122;Precio x Kg : $17 950;4850;Lider
352305;Ciruela Sin Carozos  300 g;3404540320005;Precio x Kg : $8.000;2400;Sofruco
949401;Mix Especial  300 g;7804515005252;Precio x Kg : $8 833;2990;Lider
949411;Cranberries Deshidratados  300 g;7804515005306;Precio x Kg : $10 633;4090;Lider
