Nombre$SKU$Marca$Precio
7412$Huevitos de Pascua chocolate bandeja 250 g$Trencito$0
7425$Huevitos de Pascua Trencito Bandeja chocolates 125g$Trencito$0
694$Chocolate Sahne Nuss Barra 160g$Sahne Nuss$2239
700$Chocolate de Leche Trencito Barra 150g$Trencito$1789
7776$Chocolate Sahne Nuss Barra 115g$Sahne Nuss$1000
678$Chocolate Rolls crocante 150 g$Costa$1539
693$Chocolate Sahne Nuss Barra 250g$Sahne Nuss$3749
694$Chocolate Sahne Nuss Barra 160g$Sahne Nuss$2239
692$Chocolate Relleno Capri Frutilla 90g$Capri$1019
12478$Chocolate Trencito 115 g$Trencito$1000
5432$Chocolate Bon o Bon Leche 120 g$Arcor$1499
706$Gomitas Frugelé 430 g$Ambrosoli$2269
680$Chocolates Rolls Nuts 150 g$Costa$1539
691$Chocolate Relleno Capri Almendra 90g$Capri$1019
684$Chocolate blanco 100 g$Karina$1199
712$Malva bañados en chocolate 250 g$Calaf$2069
1842$Chocolate Relleno Capri Guinda 90g$Capri$1019
686$Chocolate con avellanas 100 g$Karina$1199
1841$Chocolate Relleno Capri Trufa 90g$Capri$1019
2298$Chocolate de Leche Trencito Aireado Barra 105g$Trencito$1759
696$Chocolate relleno menta 120 g$Orly$1079
9649$Caramelo frugele duo ambrosoli 215 gr$Ambrosoli$1000
5439$Chocolate Bon o Bon Leche 105 g$Arcor$1439
685$Chocolate con pasas y avellanas 100 g$Karina$1199
8448$Chocolate relleno con Oreo y crema 100 g$Milka$1549
8445$Chocolate Costanuss 120 g$Costa$1199
4334$Gomitas Eucaliptus 90 g$Merello$619
5101$Gomitas Mogul Ositos 90 g$Arcor$719
7775$Chocolate Nestlé Especialidades Bombón 251g$Nestlé$3599
9143$Chocolate de leche 100 g$Milka$1549
687$Chocolate de leche 100 g$Karina$1199
5374$Chocolate Rolls Blanco 140 g$Costa$1539
2644$Bombones Ferrero Rocher 100 g$Ferrero Rocher$4819
1853$Bombón Bon o Bon leche 450 g$Arcor$4489
6$Cerezas al cognac 120 g$Ambrosoli$2239
689$Chocolate blanco de leche 100 g$Milka$1549
683$Chocolate Chubi Dos en Uno 150 g$Dos en Uno$1499
708$Gomitas Flipy 100 g$Ambrosoli$849
5417$Marshmallows tradicional 120 g$Arcor$749
676$Chocolate Rolls Crispy 130 g$Costa$1539
5377$Chocolate amargo 45% cacao 100 g$Milka$1549
5006$Calugas de leche/nuez De Mi Campo . 90 g$De Mi Campo$769
690$Chocolate Sahne Nuss Bitter Barra 250g$Sahne Nuss$4349
695$Chocolate Sahne Nuss Pasas al ron Barra 250g$Sahne Nuss$4349
705$Gomitas Ambrosito 100 g$Ambrosoli$849
5462$Chocolate de Leche Trencito Balls 115g$Trencito$1439
669$Chocolate Rocklets envase doypack zipper 150 g$Arcor$1499
8410$Pin Pop surtido 306 g$Ambrosoli$1429
2395$Chocolate leche 145 g$Muibon$1099
8425$Gomitas Frugelé 130 g$Ambrosoli$839
5103$Gomitas Mogul Gusanito Extre Arcor 90 g$Arcor$749
677$Chocolate Rolls Crispy Berries 120 g$Costa$1539
672$Bombones chocolate coco 200 g$Berggold$1599
8427$Chocolate sin azúcar 70% cacao 100 g$Valor$2699
697$Chocolate Relleno Naranja Orly 120 g$Orly$1079
2845$Marshmallow mini 283 g$Cuisine & Co$1489
7324$Chocolate Kit Kat Milk 41 .5g$Nestlé$890
713$Calugas Suny clásicas 130 g$Calaf$979
699$Chocolate Tifany 125 g$Tifany$1299
673$Bombones chocolate plátano 250 g$Berggold$1499
682$Chocolate de leche en ramas 115 g$Costa$1779
710$Caramelos butter chocolate 130 g$Arcor$919
5349$Chicle Ultra Clean Mint 24 g$Arcor$990
8446$Chocolate barra 72% cacao y naranja 80 g$Costa$1869
668$Chocolate Orly berries 115 g$Ambrosoli$1079
1849$Chocolate relleno 100 g almendra$Orly$1079
8422$Chicles surtidos Grosso 120 g . 17 unid$Bigtime$1319
8412$Yogheta surtida 306 g$Ambrosoli$1429
671$Chocolate Rocklets con Maní 150 g$Arcor$1499
11193$Chocolate relleno con Oreo brownie 100 g$Milka$1549
8440$Caja de chocolates rellenos con menta 300 g$Gottena$3599
675$Bombones Vizzio estuche 120 g$Costa$1669
707$Gomitas Loop 100 g$Ambrosoli$849
681$Chocolate barra 62% cacao 80 g$Costa$1869
5430$Caramelos Mentitas 25 g$Ambrosoli$299
1850$Chocolate cacao menta 100 g$Costa$1869
8416$Caramelos Merello 90 g . Gajitos . limón y naranja$Merello$559
1839$Caramelos sabores frutales 300 g$Cavendish & Harvey$3199
