Nombre;medida;Precio
Carefree Protector Diario Longs con Perfume;40 Und;$2.600
Kotex Toallas Femeninas Ultrafina Nocturna con Alas;1 X 15 Und;$2.390
Kotex Tampones Digitales Súper sin Aplicador;1 X 12 Und;$1.890
Veet Crema Depilatoria Pieles Sensibles Silk & Fresh;1 X 100 mL;$5.350
Veet Bandas Depilatorias Facial Piel Sensible 20Un;20 Und;$5.740
Millefiori Bandas Depilatorias Faciales;1 X 16 Und;$4.390
Gillette Maquina para Afeitar Venus Tropical;1 X 3 Und;$6.590
Nivea Men Espuma de Afeitar;1 X 200 mL;$5.350
Millefiori Bandas Depilatorias Piel Sensible;1 X 12 Und;$3.510$5.850
Millefiori Barra depilatoria Piel Sensible;43 g;$4.750
Gillette Espuma para Afeitar Foamy Piel Sensible;1 X 322 mL;$5.034$8.390
Millefiori Cera Depilatoria Corporal para Piel Normal;1 X 180 g;$3.745$5.350
Gillette Cartuchos para Afeitar Mach3;1 X 4 Und;$9.890
Skyn Preservativos Original Sensación Natural ;1 X 3 Und;$3.790
Lifestyles Condones Ultra Sensible Nuda;1 X 12 Und;$8.790
Juschek Test de Antígenos Covid-19 Nasal;1 X 1 Und;$11.990
Lifestyles Preservativos Rough Rider;1 X 3 Und;$2.190
Lifestyles Ultra Sensible Nuda;1 X 3 Und;$2.190
Lifestyles Preservativos Stimula x 3 Unidades;1 X 3 Und;$2.190
Band Aid ApósitosTransparente;40 Und;$3.690
Simonds Alcohol en Gel ;1 X 360 mL;$1.715$2.450
Durex: Preservativo Clasico;1 Und;$6.490
Test de Embarazo Hospifarma;1 Und;$4.990
Leblon Post Solar Aloe Vera;1 X 220 mL;$4.990
Difem Pharma Alcohol Desnaturalizado 70°;1 X 250 cc;$1.990
Kn95 Mascarilla Respiratoria 5 Capas Pack 20 Und.;1 Und;$4.990
Singclean Test Antígeno Covid19;1 Und;$9.990
Simonds Baby Protector Solar 50+ en Spray ;1 X 190 mL;$5.760
Simonds Protector Solar para Niños y Adultos en Spray SPF 50;100 mL;$2.490
Mascarillas 3 Pliegues Adulto Celeste;1 x 50 Und;$4.790
La Preferida Salame;100 g;$1.890
La Preferida Salchichas Vienesas Sin Piel;7 Und;$2.590
La Crianza Longanicilla De Campo;280 g;$3.250
La Preferida Chorizo Parrillero con Carne Angus;1 X 8 Und;$3.990
La Crianza Chorizo de Campo;1 X 420 g;$4.590
La Crianza Salchicha Cerdo;250 g;$1.650
La Preferida Paté Ternera;1 X 160 g;$950
La Preferida Salchicha Sureña x 5 Unidades;1 X 250 g;$1.850
La Preferida Tocino Sazonado y Ahumado;1 X 180 g;$3.250
Sopraval Pechuga de Pavo Cocida;1 X 250 g;$4.090
Sopraval Jamón de Pechuga Pavo Ahumada;250 g;$4.090
La Preferida Jamón Pierna;1 X 200 g;$3.090
La Preferida Jamon Serrano;80 g;$2.990
La Crianza Jamón Campestre de Pierna;1 X 200 g;$2.790
La Crianza Jamon Campestre Ahumado;1 X 200 g;$2.890
La Crianza Jamón De Pavo Ahumado Sabor Superior;1 X 150 g;$2.290
La Preferida Jamón Pierna;1 X 125 g;$2.090
La Preferida Pechuga Cocida de Pavo;1 X 125 g;$2.190
Sky Chefs Queque de Limon Trozo;70 g;$790
Sky Chefs Queque de Vainilla Trozo;60 g;$750
Mango Pastelería Muffin Vainilla Arándanos Sin Azúcar;110 g;$2.390
Mango Pasteleria Queque Vainilla Chips Chocolate Sin Azúcar 340 g;340 g;$4.990
Hips Mango Pastelería Muffin Vainilla C De Chocolate Sin Azúcar;110 g;$2.390
Mango Pasteleria Torta Panqueque de Naranja Sin Azúcar;260 g;$4.990
Mango Pasteleria 2 Cachitos Mil Hoja Sin Azúcar;120 g;$3.590
Breden Master Hallulla Especial ;1 X 30 Und;$5.090
