Nombre;medida;Precio
Tucapel Arroz Basmati;1 X 1 Kg;$5.050
Banquete Arroz Premium Grado 1;2 Kg;$3.520
Carozzi Cus Cus Champiñon;200 g;$1.490
Banquete Quinoa Natural;1 X 400 g;$3.790
Wasil Garbanzos Seleccionados;1 X 380 g;$1.350
Wasil Porotos Negros;380 g;$1.350
Wasil Lentejas;1 X 380 g;$1.350
Banquete Lentejas 5 Mm;1 X 1 Kg;$3.190
Banquete Lenteja 4 Mm;1 Kg;$2.850
Banquete Poroto Tórtola;1 X 1 Kg;$3.650
Mi Tierra Proteína de Soya;1 X 300 g;$2.290
Banquete Poroto Blanco;1 X 1 Kg;$3.150
Wasil Porotos Granados;1 X 380 g;$2.350
Mont Blanc Harina con Polvos de Hornear;1 X 1 Kg;$1.050
Selecta Harina Integral;1 X 1 Kg;$1.650
Maizena Almidon De Maiz;400 g;$4.050
Chef Aceite De Maravilla..1L.Libre De Colesterol;1 Und;$3.950
Natura Aceite Maravilla;2 L;$4.420
Kardamili Aceite de Oliva Extra Virgen;1 X 1 L;$8.590
Trattoria Aceite de Oliva Extra Virgen;1 X 1 L;$7.850
Chef Aceite de Oliva Extra Virgen;500 mL;$5.050
Pro Chef Aceite Spray Oliva Light;1 X 225 mL;$6.190
Chef Aceite Oliva Extra Virgen ;1000 mL;$9.490
Traverso Aceto Balsámico Di Modena;250 mL;$1.750
Traverso Vinagre De Manzana Plastico;500 mL;$2.050
Banquete Aceite de Oliva Extra Virgen;1 X 1 L;$9.150
Huasco Aceite de Oliva Extra Virgen;1 X 1000 mL;$9.690
Belmont Aceite Vegetal Canola;1 X 1 L;$5.250
Traverso Vinagre De Vino Blanco Plastico;500 mL;$1.250
Trattoria Aceite de Oliva Extra Virgen;1 X 500 cc;$4.610
Mazola Aceite Vegetal;1 L;$5.690
Pro Chef Aceite Canola Spray;1 X 400 g;$5.790
Iansa Azucar Blanca Granulada;1 Kg;$1.190
Iansa Azucar Rubia;1 X 1 Kg;$2.490
Iansa Azúcar Flor ;1 X 500 g;$1.120
Iansa Endulzante Cero K Sucralosa 500 Tabletas;500 Und;$3.850
Natura Castaño Azucar La Fuente L Rubia Cana;1 Kg;$3.990
Iansa Endulzante Liquido Cero K Stevia Sucralosa;1 X 350 mL;$5.050
Van Camps Lomitos de Atún en Agua;1 X 160 g;$1.590
Van Camps Lomitos de Atún en Aceite ;1 X 1 Und;$1.450
Robinson Crusoe Atún lomitos en Agua;1 X 160 g;$1.950
Robinson Crusoe Surtido de Mariscos;1 X 425 g;$4.290
San José Jurel Lata al Natural con Omega 3;1 X 300 g;$1.920
Wasil Palmitos Rodajas;400 g;$2.290
Don Juan Aceituna Sevillana;1 X 340 g;$2.450
Don Juan Pepinillo Dill;180 g;$2.190
Don Juan Chucrut Bolsa;1 X 200 g;$1.050
Don Juan Americana En Vinagre;200 g;$1.050
Don Juan Aceitunas Azapa;1 X 330 g;$2.240
By María Cebolla;400 g;$4.590
By María Pepinillos Picantes;1 X 430 g;$4.590
By María Ají Verde;400 g;$4.990
Wasil Durazno en Cubitos;380 g;$1.090
Via De La Plata Aceituna Con Pimiento;350 g;$1.950
Wasil Palmitos Enteros;400 g;$2.890
Gourmet Alcaparras Seleccionadas;1 X 110 g;$1.750
Heinz Ketchup Sqz;567 g;$3.590
Hellmanns Ketchup;1 X 1 Kg;$3.020
En Línea Salsa Ketchup sin Azúcar Añadida;1 X 350 g;$2.750
Lobos Sal De Seleccion;500 g;$1.050
Lobos Sal Parrillera;1 X 750 mL;$1.290
Carozzi Salsa Lista Blanca Champinon;200 g;$890
Barilla Pesto Alla Genovese;1 X 190 g;$4.390
Kikkoman Salsa Teriyaki;1 X 296 mL;$5.150
Inferno Salsa de Ají Red;1 X 250 g;$2.350
Inferno Salsa De Aji Smoked Medium;250 g;$1.763$2.350
Kikkoman Salsa Regular Fco;148 mL;$3.190
Tabasco Salsa Picante Pepper;150 mL;$6.550
Carozzi Salsa Lista Bechamel;200 g;$1.050
Gourmet Salsa Inglesa;1 X 165 mL;$1.950
Gourmet Salsa Soya Tradicional; X 500 mL;$2.550
Gourmet Salsa Barbecue;1 X 280 g;$1.850
Costa Galletas Mini Donut;1 X 40 g;$290
Bon O Bon Bombones de Chocolate Original;1 X 270 g;$3.290
Costa Nik Galleta Bocado;1 X 71 g;$450
Super 8 Galletas;8 Und;$2.050
McKay Criollita Galletas Sabor Vainilla;1 X 100 g;$1.350
Oreo Galleta Chocolate Rellena con Crema de Vainilla;6 X 36 g;$1.430
Natur Cereal Original Maiz;300 g;$2.650
En Línea Barra De Cereal Chocololate 6 U;15 g;$1.950
Mckay Mini Kuky;1 X 40 g;$390
Kinder Maxi Barra de Chocolate con Leche;10 X 1 Und;$4.550
Mackay Triton Mini Galletas Sabor a Vainilla;1 X 40 g;$390
En Línea Almendras Cubiertas con Cacao sin Azúcar Añadida;1 X 100 g;$3.290
Natur Cereal Trigo Inflado Bolsa;300 g;$2.650
En Línea Barra Cereal Almendra Coco Sin Azucar;6 Und;$2.250
Costa Mini Palmeritas;1 X 40 g;$250
Natur Cereal Natural Arroz;1 X 300 g;$2.650
Costa Mini Mantequilla;40 g;$250
Costa Mini Nik;30 g;$290
Costa Mini Dulcitas;40 g;$250
Costa Galletas Mini Chips;1 X 35 g;$250
Vivo Galletas de Salvado;1 X 585 g;$1.950
En Línea Rolls sin Azúcar;1 X 90 g;$2.190
Natur Cereal Maiz;20 g;$390
Costa Mini Vino;40 g;$250
Costa Galleta Frac Clásica;1 X 130 g;$590
Marco Polo Maní Salado con Miel;1 X 150 g;$1.450
En Línea Almendras Cubiertas con Cacao sin Azúcar Añadida;1 X 100 g;$3.290
Evercrisp Maní con Sal;1 X 403 g;$2.350
Marco Polo Maní sin Sal;1 X 430 g;$2.490
Marco Polo Maní Salado;1 X 430 g;$2.850
Frutisa Tropical Mix Frutos Secos;1 X 80 g;$1.390
Frutisa Snack Mix Party;1 X 300 g;$3.350
Frutisa Nuez Mariposa;1 X 100 g;$3.590
Frutisa Snack Mix Hakuna;1 X 300 g;$3.350
Frutisa Almendra Natural;1 X 100 g;$2.490
Frutisa Castaña De Caju;80 g;$3.790
Frutisa Picoteo Mix Andino ;1 X 140 g;$1.450
Frutisa Trail Mix;1 X 80 g;$1.390
Ambrosoli Ambrosito Gomitas;1 X 100 g;$950
Ambrosoli Gomitas Flipy;1 X 100 g;$950
Ambrosoli Loop Gomitas Acidas;100 g;$950
Calaf Marshmallows Malva Chocolate;1 X 250 g;$2.390
Orbit Chicle Botella Menta Sin Azucar;64 g;$2.790
Ambrosoli Frugele Gomitas;1 X 430 g;$2.190
Calaf Calugas Suny Bolsa;400 g;$2.350
Orbit Chicle sin Azúcar Sabor a Hierbabuena x 46 Unidades;1 X 46 Und;$2.790
Orbit Chicles Professional White;1 X 46 Und;$2.790
Dentyne Chicle Ice Arctic Chill sin Azúcar;1 X 60 Und;$3.890
Halls Caramelo Yerbabuena Liptus;9 Und;$350
Halls Miel Limón;25 g;$350
Trident Chicle Yerbabuena;1 Und;$1.000
Halls Caramelo Duro Sabor Menta Fuerte Y Ecucalipto 9 Un;25 g;$350
Pin Pop Chupetes Sabor Frutos Rojos;24 X 1 Und;$2.790
Evercrisp Cabritas Acarameladas;1 X 140 g;$1.590
Vivo Compota Pack Mifrut;5 X 90 g;$2.360
Vivo Compota Mifrut Sabor Manzana;1 X 90 g;$490
Rolls Chocolate Blanco Crocante;1 X 140 g;$1.550
Pin Pop Chupetes Sabor Frutos Rojos;24 X 1 Und;$2.790
Costa Galletas Mini Donut;1 X 40 g;$290
Bon O Bon Galleta;1 X 95 g;$1.090
Costa Galletas Obsesión Original;1 X 85 g;$890
Costa Galleta Donuts Chocolate Blanco;100 g;$890
Costa Nik Galleta Bocado;1 X 71 g;$450
Recetas De La Abuela Galletas Bocaditos Membrillo;1 X 300 g;$1.820
Chips Ahoy  Galletas Toddy Clásica con Chocolate;1 X 114 g;$950
Costa Galleta Donuts Chocolate Leche;1 X 100 g;$890
Costa Galletas Tuareg Sabor a Coco;1 X 120 g;$490
Oreo Galleta Cookies and Cream;1 X 126 g;$700
Super 8 Galletas;8 Und;$2.050
McKay Criollita Galletas Sabor Vainilla;1 X 100 g;$1.350
Oreo Galleta Chocolate Rellena con Crema de Vainilla;6 X 36 g;$1.430
Mckay Triton Galleta Vainilla;126 g;$790
Mckay Mini Kuky;1 X 40 g;$390
Mackay Triton Mini Galletas Sabor a Vainilla;1 X 40 g;$390
Mckay Galletas Vino;155 g;$790
Costa Galleta Mantequilla;140 g;$650
Costa Galletas Dulces Vino;1 X 160 g;$650
Costa Mini Palmeritas;1 X 40 g;$250
Oreo Barra Cremosa De Chocolate;1 X 41 g;$820
Costa Galletas Limon;140 g;$650
Mckay Kuky Galleta Clásica Chip Chipers ;1 X 190 g;$1.590
Costa Galletas Champaña;1 X 140 g;$1.550
Dos En Uno Galletas Surtidas Holanda;1 X 400 g;$1.820
McKay Kuky Galleta 2.0;120 g;$950
Mckay Morocha Galleta Familiar;240 g;$1.490
Oreo Galleta De Vainilla Con Relleno Sabor Vainilla 14 Un;126 g;$700
Frac galleta chocolate;130 g;$590
Costa Galleta Frac Clásica;1 X 130 g;$590
Oreo Galleta Sabor Chocolate;1 X 118 g;$700
Mana Galletas Vainilla;393 g;$2.020
Costa Galleta Crackelet Pack De 3;255 g;$1.390
Costa Galletas Agua Line;1 X 210 g;$890
Cracker Galletas Horneadas ;1 X 107 g;$1.320
Costa Galletas de Soda Line;1 X 180 g;$850
Selz Galletas De Agua Light;600 g;$2.590
Costa Galletas Crackelet;1 X 85 g;$550
Tika Galleta Chía Romero;1 X 140 g;$2.090
Nat Crackers Galleta Pistacho Y Romero;160 g;$5.390
Tika Galleta Curcuma y Sesamo;1 X 140 g;$2.090
Costa Galletas Soda;1 X 180 g;$890
Club Social Galleta Integral 9 Paquetes;234 g;$1.520
Mckay Galletas de Soda Light;1 X 180 g;$818$1.090
Vivo Galletas de Salvado;1 X 585 g;$1.950
Mckay Galletas de Soda Clásica;1 X 180 g;$990
Costa Chocolate Rama Leche;115 g;$2.090
Vizzio Chocolate Almendras cubiertas de Chocolate Crocante;1 X 120 g;$1.790
Costa Chocolate Rolls Nuts;1 X 150 g;$1.590
Sahne-Nuss Barras de Chocolate con Almendras ;1 X 250 g;$4.650
Costa Chocolate Rolls Crocante;1 X 150 g;$1.590
Nestlé Trencito Chocolate de Leche;1 X 150 g;$2.250
Costa Rolls Crispy Chocolate;1 X 130 g;$1.550
Bon O Bon Bombones de Chocolate Original;1 X 270 g;$3.290
Ambrosoli Golden Nuss Barra de Chocolate;1 X 120 g;$1.190
Rocklets Chocolate Colores Surtido;1 X 150 g;$1.920
Sahne-Nuss Chocolate con Almendras sin Azúcar;1 X 100 g;$3.750
Milka Chocolate con Leche de los Alpes;1 X 100 g;$1.720
Kinder Maxi Barra de Chocolate con Leche;10 X 1 Und;$4.550
En Línea Almendras Cubiertas con Cacao sin Azúcar Añadida;1 X 100 g;$3.290
Tableta Rolls Nuts 120gr c/u;120 g;$1.190
Costa Chocolate Cacao 62% Bitter;1 X 80 g;$1.950
Ferrero Rocher Bombones con Chocolate y Avellanas;1 X 12 Und;$9.090
Toblerone Chocolate de Leche XL;1 X 360 g;$6.730
Milka Chocolate Extra Cacao;1 X 100 g;$1.720
Toblerone Chocolate Amargo;1 X 100 g;$2.430
Milka Tableta Chocolate Relleno de Oreo Brownie;1 X 100 g;$1.720
Sahne-Nuss Chocolate Nus Bitter Nestle;250 g;$5.590
Toblerone Chocolate de Leche;1 X 100 g;$2.430
Ambrosoli Bombones de Chocolate con Relleno de Cerezas Al Cognac;1 X 120 g;$2.390
En Línea Rolls sin Azúcar;1 X 90 g;$2.190
Toblerone Chocolate Blanco;1 X 100 g;$2.430
Milka Chocolate Relleno De Caramelo;1 X 100 g;$1.720
Lay´s Papas Fritas Artesanas Original;1 X 185 g;$1.850
Doritos Tortillas de Maíz Sabor Queso ;1 X 172 g;$1.650
Lays Papas Fritas Stax Crema y Cebolla;1 X 134 g;$1.690
Evercrisp Cheezels Retro Snack;220 g;$1.590
Marco Polo Snacks de Papas Fritas Rusticas con Sal de Mar;1 X 185 g;$2.450
Evercrisp Cheetos Palitos 300;300 g;$1.790
Marco Polo Papas Fritas Rústicas Merkén;1 X 185 g;$2.290
Lays Papas Fritas Stax Original;1 X 134 g;$1.690
Lays Papas Corte Americano;1 X 380 g;$2.350
Pancho Villa Tortillas de Maíz Panchitos;1 X 320 g;$2.890
Evercrisp Ramitas Sabor Original;1 X 250 g;$1.590
Tostitos Nachos Original;1 X 285 g;$1.990
Tika Snack Artesanal de Camotes y Betarragas Furiosas Mix;1 X 180 g;$3.090
Tika Snack Artesanal Patagonia Mix;180 g;$2.990
Marco Polo Papas Fritas Corte Americanas;400 g;$2.590
Tika Chips de Tortilla Hummus Sabor Tomate y Cebolla;1 X 180 g;$2.390
Tika Tor Snacks De Tortilla De Quinoa Y Sésamo Tostado;1 X 180 g;$2.390
Marco Polo Crunchis Horneados Sabor a Maní;1 X 230 g;$1.950
Evercrisp Ramitas de Queso;1 X 250 g;$1.540
Marco Polo Papas Fritas Caseras Sabor Crema & Ciboulette;1 X 200 g;$1.820
Evercrisp De Todito Sabor Original;1 X 290 g;$2.590
Marco Polo Papas Fritas Caseras;400 g;$2.590
Tika Chips Artesanales Nativas Andinas;1 X 180 g;$3.190
Rinso Detergente Líquido para Ropa Hortensias y Flores Blancas;1 X 2.7 L;$7.850
Vanish Limpiador Ropa Color Gel Multiusos;450 ml;$1.420
Popeye Detergente Liquido Matic Formula Concentrada;1 L;$5.050
Ariel Detergente Líquido Concentrado con un Toque de Downy;1 X 1.9 L;$14.050
Drive Detergente Líquido;1 X 3 L;$15.090
Drive Detergente Polvo Perfect Results;3 Kg;$13.850
Free Met Detergente Ecológico;1 L;$5.400
Soft Omo Detergente Líquido Con Toque De Aloe Vera;1 X 3 L;$14.890
Matic Omo Detergente Polvo;5 Kg;$20.890
Drive Pack Detergente Diluible + Botella; X 1 Und;$12.490
Lysol Desinfectante de Ropa;1 X 1200 mL;$5.243$7.490
Bio Frescura Pack Detergente 2Un; X 3 L;$11.650
Popeye Jabón De Lavar Matic Sábanas Y Toallas Doypack 3L;3 L;$14.550
Popeye Detergente en Barra Lava Ropa de Bebé ;1 X 170 g;$1.050
Vanish Quitamanchas Líquido Blanco Dp;450 mL;$1.420
Soft Omo Matic Detergentes Líquidos Con Toque De Aloe Vera;1 X 3 L;$15.090
Popeye Jabón Hipoalergénico para Bebé Pack;1 X 2 Und;$1.990
Ariel Detergente Regular Powder;1 Kg;$4.050
Ariel Detergente Matic Liquido Concentrado;2 L;$14.050
Omo Detergente Pack para Diluir 2 Unidades;1 X 3 L;$11.090
Soft Suavizante De Ropa Clasico;1 L;$2.890
Fuzol Suavizante Hipoalergénico Classic;1 X 1000 mL;$1.820
Fuzol Esmeralda Suavizante Piel Extra Sensible;2 L;$3.050
Cif Limpiador Crema Con Microparticulas Original;750 g;$2.150
Lysol Limpiador Superficie Marina;2 L;$2.790
Free Met Limpiador Multiuso;900 mL;$2.810
Free Met Limpiador en Crema Ecológico;1 L;$4.500
FreeMet Higienizante de Superficies Alcohol 70 %;500 mL;$7.900
Lysoform Limpiador Crema Antibacterial;450 mL;$2.240
Mr Musculo Limpiador en Crema Citrus;450 mL;$1.890
Mr Musculo Limpiador S Para Horno;360 mL;$5.460
Silvo Limpia Plata;200 mL;$4.543$6.490
Virginia Limpiador De Pisos Lavanda;900 mL;$3.790
Harpic Extra Fuerte;750 mL;$3.290
Fibro Wc Set Cepillo Un;1 Und;$4.890
Glassex Antigrasa Limon Gatillo;650 mL;$1.995$2.850
Harpic Limpiador de Inodoros Power Ultra 10X;1 X 750 mL;$3.290
Mr Musculo Limpiador Vidrios y Multiusos;500 mL;$1.780
Cif Limpiador Antigrasa;1 X 450 mL;$2.250
Pato Purific Gel Destructor de Sarro Para Inodoro Citrico;500 mL;$2.090
Poett Limpiador Desinfectante de Pisos Frescura Lavanda;1 X 1.8 L;$2.850
Glassex Limpiador Antigrasa Limón;1 X 420 mL;$1.390
Mr Musculo Limpiador Naranjo Recarga;450 mL;$2.100
Lysoform Desinfectante Original;1 X 420 mL;$2.780
Lysoform Desinfectante Aerosol Aire Montaña;495 mL;$3.070
Lysol Desinfectante en Aerosol Crisp Linen;1 X 538 g;$3.990
Arom Desodorante Ambiental Jardin Lavanda;1 X 225 g;$1.490
Glade Desodorante de Ambiente Aerosol;1 X 2 Und;$3.570
Lysoform Desinfectante de Ambientes y Superficies en Aerosol Lavanda;1 X 360 cc;$2.760
Lysol Limpiador Superficie Marina;2 L;$2.790
Lysoform Desinfectante Original;1 X 420 mL;$2.780
Lysoform Desinfectante Aerosol Aire Montaña;495 mL;$3.070
FreeMet Higienizante de Superficies Alcohol 70 %;500 mL;$7.900
Igenix Desinfectante Tradicional Aerosol;2 X 1 Und;$3.990
Lysoform Desinfectante Pastilla Para Wc 3X2;40 g;$3.690
Lysoform Desinfectante de Ambientes y Superficies en Aerosol Lavanda;1 X 360 cc;$2.760
Virutex Esponja Multiuso Lisa;4 X 1 Und;$1.550
Virginia Trapero Humedo Multiuso;10 Und;$2.190
Virutex Paño Húmedo Desinfectante;1 X 10 Und;$3.750
Virutex Trapero Húmedo Desechable Multiuso Lavanda;1 X 10 Und;$3.750
Clorox Toallitas Desinfectantes Expert Aroma Fresco 30 Unidades;30 Und;$3.450
Virutex Virutilla Grande N4 Gruesa;1 Und;$2.550
Virutex Esponja Anatómica Acanalada Pack De 3;3 Und;$1.790
Virutex Esponja Multiuso Anatómica x 4 Unidades;1 X 4 Und;$2.350
Virutex Trapero Doble De Algodon C Ojal;1 Und;$3.850
Virutex Toallas Desinfectantes Aroma Limón;1 X 35 Und;$2.790
Lysol Toallitas Húmeda Desinfectante Biodegradable Marina;1 Und;$2.790
Igenix Trapero Higienizante Piso Flotante;1 x 10 Und;$2.590
Virutex Bolsas De Basura Biorol70X90 10Un;1 Und;$1.490
Superior Bolsas de Basura Plástico reciclado 50 x 70 cm;10 X 1 Und;$750
Virutex Bolsa para Basura Pequeña Negra sin Olor ;1 X 10 Und;$750
Superior Bolsa;90 cm;$1.490
Basulip Bolsa de Basura Grande;1 X 10 Und;$2.590
Virutex Bolsa Basura Jardín ;1 X 10 Und;$3.450
Virutex Bolsas Grandes 80X110;10 Und;$1.820
Alufoil Papel Aluminio Para Uso Domestico;8 m;$1.890
Raid Insecticida Todo Insecto;360 mL;$3.410
Killer Insect Arañas Y Cucarachas;560 mL;$2.790
"Raid Insecticida Eliminador de Polillas
";1 X 390 mL;$4.220
Raid Insecticida Casa y Jardín;1 X 420 mL;$4.380
Glassex Limpia Vidrios;420 mL;$1.490
Mr Musculo Limpiador Vidrios y Multiusos;500 mL;$1.780
Cif Limpiador Recarga Para Vidrios;450 mL;$2.250
Virginia Lustramuebles Tradicional;500 m;$3.350
Sky Chefs Croissant Jamon Queso;170 g;$1.990
Sky Chefs Wrap De Plateada;198 g;$2.750
Kitchenita Ciabatta Serrano Brie más Shot;1 Und;$4.390
Sky Chefs Wrap de Pollo;233 g;$3.350
Kitchenita Wrap Pollo más Shot;1 Und;$3.990
Kento Sushi Gohan de Camarón y Salmón;1 x 1 Und;$7.990
Kento Sushi Gohan de Pollo Apanado;1 x 1 Und;$7.990
Kitchenita Gohan de Camaron apanado más Shot;1 x 1 Und;$6.590
Mango Pasteleria Torta Panqueque de Naranja Sin Azúcar;260 g;$4.990
Mango Pasteleria 2 Cachitos Mil Hoja Sin Azúcar;120 g;$3.590
Trozo Torta Frambuesa Manjar 0% Azúcar;1 x 260 g;$5.490
Mango Pasteleria Queque Vainilla Chips Chocolate Sin Azúcar 340 g;340 g;$4.990
Trozo Torta Chocolate Manjar 0% Azúcar;1 x 260 g;$5.490
Hips Mango Pastelería Muffin Vainilla C De Chocolate Sin Azúcar;110 g;$2.390
Mango Pastelería Muffin Vainilla Arándanos Sin Azúcar;110 g;$2.390
Sky Chefs Muffin De Arandano 1 unidad;100 g;$950
Sky Chefs Queque de Limon Trozo;70 g;$790
Sky Chefs Queque de Vainilla Trozo;60 g;$750
Franuí Frambuesas Bañadas de Chocolate Leche y Chocolate Blanco;1 X 150 g;$4.990
Franuí Frambuesas Bañadas en Chocolate ;1 X 150 g;$4.990
Love Lemon Limonada con Menta y Jengibre;1 X 475 mL;$1.990
Sparkling Love Lemon;330 mL;$1.340
La Crianza Pizza Pepperoni;1 X 1 Und;$5.950
BredenMaster Empanada Pino Casera ;1 X 2 Und;$4.990
La Crianza Empanadas de Aceituna y Queso;1 X 10 Und;$6.890
Franuí Frambuesas Bañadas de Chocolate Leche y Chocolate Blanco;1 X 150 g;$4.990
Franuí Frambuesas Bañadas en Chocolate ;1 X 150 g;$4.990
Sky Chefs Muffin De Arandano 1 unidad;100 g;$950
Sky Chefs Croissant Jamon Queso;170 g;$1.990
Sky Chefs Queque de Limon Trozo;70 g;$790
Sky Chefs Queque de Vainilla Trozo;60 g;$750
Sopraval Pechuga de Pavo Cocida;1 X 250 g;$4.090
Sopraval Jamón de Pechuga Pavo Ahumada;250 g;$4.090
La Preferida Salame;100 g;$1.890
La Preferida Jamón Pierna;1 X 200 g;$3.090
Colun Quesillo Light Pote;320 g;$2.090
La Preferida Paté Ternera;1 X 160 g;$950
La Crianza Jamon Campestre Ahumado;1 X 200 g;$2.890
La Preferida Pechuga Cocida de Pavo;1 X 125 g;$2.190
Vital Agua Mineral Natural sin Gas;1600 ml;$850
Benedictino Agua sin Gas;1 X 2 L;$950
Lifestyles Condones Ultra Sensible Nuda;1 X 12 Und;$8.790
Juschek Test de Antígenos Covid-19 Nasal;1 X 1 Und;$11.990
Test de Embarazo Hospifarma;1 Und;$4.990
Difem Pharma Alcohol Desnaturalizado 70°;1 X 250 cc;$1.990
Energizer Pilas 2 Unid. Alcalinas Aa;1 Und;$2.090
Singclean Test Antígeno Covid19;1 Und;$9.990
Mascarillas 3 Pliegues Adulto Celeste;1 x 50 Und;$4.790
Energizer Pilas Max Aaa;1 X 2 Und;$2.090
